País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Japón,3111 Elaboración de alimentos para animales,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"3113 Elaboración de azúcares, chocolates, dulces y similares",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,C,C,C,C,C,0.0,C
Japón,"3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,C,C,C,C,C
Japón,3115 Elaboración de productos lácteos,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,C
Japón,"3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3118 Elaboración de productos de panadería y tortillas,0.0,0.0,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,C
Japón,3119 Otras industrias alimentarias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,312 Industria de las bebidas y del tabaco,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Japón,3121 Industria de las bebidas,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Japón,313 Fabricación de insumos textiles y acabado de textiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,C,C,C,C,0.0,64.8
Japón,"3131 Preparación e hilado de fibras textiles, y fabricación de hilos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,C,C,C,C,0.0,C
Japón,3132 Fabricación de telas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
