Pais,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Francia,19.5,10.3,6.8,110,8.7,10.7,316.9,31.2,152.4,16.5,181,500.5,69,76.9,90.3,125.7,125.1,90.7,124.3,215.7,198,151.8,-23.4,95.2,26.1,84,-43.9,107.1,101.7,-161,160.3,27.2,124.8,88.1,37.3,203.5,-98,11.8,81.9,71.7,-35,-165.7,-3.7,0
Guatemala,0,0,0,0,0,0,0,0,218.2,47.8,126.1,119.5,83.1,88.3,0,0,0,0,0,401.1,564.1,-149.2,422.8,690.3,318.5,649.4,-288.5,342.4,811.2,599.9,460.6,634.8,808.8,898.1,"1,276.60",875.7,509.5,405.3,685.1,"1,173.70",536.1,460.3,447.7,149.4
Hong Kong,,,,,,,,,,,,,,,0,0,0,0,0,3.1,0.4,1,6.9,5.2,15.7,3,1.4,0.4,0.7,8.4,27,14.4,11,-4.2,0,0.5,0.6,5.5,0.7,7.3,-0.7,0.6,48.2,0.9
India,,,,,,,,,,,,,,,0,0.4,0,0,0,36,10.5,-42.5,-4.9,27.3,18.8,120.4,61.1,120.6,34.5,27.4,7.7,42.2,35.3,10.3,34.7,29.7,91.9,69,154.5,79.6,74.3,66.4,450,194.9
Indonesia,,,,,,,,,,,,,,,2.6,0.1,0,0,0,0.2,0.5,1.2,1.3,0.6,1.4,2.5,0.4,82.7,7.6,66.5,-39.8,19.5,6.3,1.9,14.9,23.5,27.2,47.6,25.1,38.6,1.5,7.6,-1.1,-7.9
Irlanda,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,0,0,0,36.4,0,0,0,25.3,0,0
Israel,,,,,,,,,,,,,,,0.2,0.2,6.4,0.7,0.7,9.1,54.8,39.6,111.3,72.6,1,27.8,24.1,35.7,106.5,243,30.5,129.9,61,94,35.3,-5.4,51.9,31.5,48.2,50.7,-9.8,21.8,144.6,77.6
Italia,-29.3,5.1,1.9,1,0.5,0.6,4,2.8,0,6.6,4.6,1.9,7.5,4.6,2.5,10.5,18.6,29.3,16.9,72.9,1.1,1.6,3.3,4.6,14.1,80.6,6.8,-8.6,129.1,675.8,-29.3,-90.8,112.1,-7.9,35.5,-11.2,"2,009.40",14.9,18.3,-28.5,6.6,15.7,56.2,37.4
Japon,123.1,212.1,65.4,3.8,35.6,79.3,142.2,132.8,148.8,15.7,120.8,73.5,86.9,73.6,630,155.6,145.1,351.7,97.3,92.7,192.2,237.9,74.5,60.1,83.5,124.7,93.9,124.1,171.5,158.3,135.7,437.8,690.1,482.3,444.2,746.8,427.4,768.9,987.6,"1,575.90",569.2,401.7,313.6,97.2
Luxemburgo,,,,,,,,,,,,,,,10.4,7.2,15,-6.5,7.6,"1,520.90",775.4,477.8,464.7,447.1,880.9,334.7,545.5,710.4,898.8,707.6,"1,203.70",845.9,"2,018.50","1,694.00","2,562.90","2,168.00","2,012.10","2,425.10","2,289.10","1,531.50","1,337.90","1,367.10","2,171.00",337.5
