País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Canadá,2372 División de terrenos y construcción de obras de urbanización,0.8,0.9,3.9,0.1,-0.7,C,C,3.0,11.7,0.0,C,0.0,C,C,C,C,C,0.0,49.8
Canadá,2373 Construcción de vías de comunicación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,C
Canadá,2379 Otras construcciones de ingeniería civil,0.0,C,C,0.0,0.0,0.0,4.8,C,C,0.0,C,0.1,C,C,0.0,C,0.0,0.0,4.9
Canadá,238 Trabajos especializados para la construcción,C,C,0.8,1.1,C,C,C,-2.1,0.0,0.0,0.1,0.0,6.0,0.0,0.0,0.0,0.0,C,9.1
Canadá,"2381Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",C,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7
Canadá,2382 Instalaciones y equipamiento en construcciones,C,C,C,C,C,C,C,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,11.5
Canadá,2383 Trabajos de acabados en edificaciones,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,2389 Otros trabajos especializados para la construcción,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,C,1.3
Canadá,31-33 Industrias manufactureras,91.0,138.1,482.7,471.6,407.8,376.2,201.5,223.6,230.8,196.7,234.1,282.7,487.1,345.8,294.6,286.1,-41.6,26.4,"4,735.2"
Canadá,311 Industria alimentaria,-1.0,1.8,2.4,2.3,0.3,C,C,C,C,0.0,C,C,0.0,0.0,C,C,0.0,0.0,10.0
Canadá,3111 Elaboración de alimentos para animales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"3113 Elaboración de azúcares, chocolates, dulces y similares",C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",C,0.7,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Canadá,3115 Elaboración de productos lácteos,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",0.0,0.0,C,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3117 Preparación y envasado de pescados y mariscos,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadá,3118 Elaboración de productos de panadería y tortillas,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,-2.2
Canadá,3119 Otras industrias alimentarias,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,6.0
Canadá,312 Industria de las bebidas y del tabaco,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C,C,C,0.0,0.0,0.0,2.0
Canadá,3121 Industria de las bebidas,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,C,C,0.0,0.0,0.0,2.0
Canadá,3122 Industria del tabaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,313 Fabricación de insumos textiles y acabado de textiles,0.0,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3132 Fabricación de telas,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3133 Acabado de productos textiles y fabricación de telas recubiertas,0.0,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"314 Fabricación de productos textiles, excepto prendas de vestir",0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,C,C,C,C,0.0,0.0,12.7
Canadá,"3141 Confección de alfombras, blancos y similares",0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,C,0.0,0.0,12.6
Canadá,"3149 Fabricación de otros productos textiles, excepto prendas de vestir",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,315 Fabricación de prendas de vestir,0.4,C,4.1,C,C,C,C,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,5.0
Canadá,3151 Fabricación de prendas de vestir de tejido de punto,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
Canadá,3152 Confección de prendas de vestir,C,C,C,C,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Canadá,3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C
Canadá,"316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,-1.5
Canadá,3161 Curtido y acabado de cuero y piel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C
Canadá,3162 Fabricación de calzado,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C
Canadá,321 Industria de la madera,0.0,C,C,C,0.0,C,C,C,0.0,0.0,C,C,C,C,C,0.0,0.0,0.0,3.7
Canadá,3219 Fabricación de otros productos de madera,0.0,C,C,C,0.0,C,C,C,0.0,0.0,C,C,C,C,C,0.0,0.0,0.0,3.7
Canadá,322 Industria del papel,C,C,0.5,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,30.0
Canadá,"3221 Fabricación de pulpa, papel y cartón",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,28.5
Canadá,3222 Fabricación de productos de cartón y papel,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
