"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Alemania,"3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3118 Elaboración de productos de panadería y tortillas,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,0.0,0.0,C
Alemania,3119 Otras industrias alimentarias,C,0.0,0.0,C,0.0,C,C,0.0,C,C,C,0.0,0.0,C,C,0.0,0.0,0.0,11.5
Alemania,313 Fabricación de insumos textiles y acabado de textiles,C,C,2.4,C,C,11.2,-0.6,-0.6,C,C,C,6.4,8.6,15.8,-7.0,9.3,-0.8,0.0,95.2
Alemania,"3131 Preparación e hilado de fibras textiles, y fabricación de hilos",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,50.9
Alemania,3132 Fabricación de telas,C,C,C,0.0,C,C,C,C,C,0.0,C,6.3,7.3,2.1,-5.6,10.3,0.6,0.0,44.3
Alemania,"314 Fabricación de productos textiles, excepto prendas de vestir",C,7.8,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6
Alemania,"3141 Confección de alfombras, blancos y similares",C,7.8,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6
Alemania,"3149 Fabricación de otros productos textiles, excepto prendas de vestir",0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,315 Fabricación de prendas de vestir,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Alemania,3151 Fabricación de prendas de vestir de tejido de punto,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Alemania,3152 Confección de prendas de vestir,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,"316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",0.0,C,0.0,0.0,0.0,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,135.1
Alemania,3161 Curtido y acabado de cuero y piel,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3162 Fabricación de calzado,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,321 Industria de la madera,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3219 Fabricación de otros productos de madera,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,322 Industria del papel,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Alemania,"3221 Fabricación de pulpa, papel y cartón",0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Alemania,323 Impresión e industrias conexas,-0.7,C,0.0,C,C,0.0,0.0,C,C,C,C,C,C,0.0,C,C,C,0.0,22.2
Alemania,3231 Impresión e industrias conexas,-0.7,C,0.0,C,C,0.0,0.0,C,C,C,C,C,C,0.0,C,C,C,0.0,22.2
Alemania,324 Fabricación de productos derivados del petróleo y del carbón,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,-2.3
Alemania,3241 Fabricación de productos derivados del petróleo y del carbón,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,-2.3
Alemania,325 Industria química,10.4,50.3,33.1,-222.5,116.4,7.3,361.0,485.8,198.5,-232.1,292.5,210.1,219.5,829.7,146.7,234.1,189.4,C,"3,052.2"
Alemania,3251 Fabricación de productos químicos básicos,7.0,C,8.0,C,-8.3,16.0,14.9,81.0,-5.9,C,C,C,C,C,C,-11.0,C,0.0,117.8
Alemania,"3252 Fabricación de resinas y hules sintéticos, y fibras químicas",0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
Alemania,"3253 Fabricación de fertilizantes, pesticidas y otros agroquímicos",C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3254 Fabricación de productos farmacéuticos,22.9,15.9,37.7,50.0,-65.6,-25.6,187.6,145.9,118.8,-158.1,167.5,-15.4,99.4,748.1,64.8,179.5,164.4,C,"1,858.8"
Alemania,"3255 Fabricación de pinturas, recubrimientos y adhesivos",C,C,C,C,C,C,C,C,C,0.0,C,C,C,5.2,C,C,C,C,-2.4
Alemania,"3256 Fabricación de jabones, limpiadores y preparaciones de tocador",1.5,3.5,C,-148.0,-5.9,-11.2,46.0,186.3,C,C,C,37.9,5.5,C,33.1,C,C,0.0,161.0
Alemania,3259 Fabricación de otros productos químicos,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,916.9
Alemania,326 Industria del plástico y del hule,9.2,51.6,155.8,75.4,55.0,104.5,54.7,-53.9,310.1,484.7,754.3,403.8,378.6,-73.6,409.7,183.2,-48.9,C,"3,347.6"
Alemania,3261 Fabricación de productos de plástico,C,3.9,C,C,0.7,-7.8,1.1,3.4,C,75.6,200.9,29.1,40.6,-8.6,12.3,56.5,-30.8,0.0,380.6
Alemania,3262 Fabricación de productos de hule,8.7,47.7,154.5,74.9,C,C,C,-57.3,308.6,409.1,553.4,374.7,338.0,-64.9,397.5,126.6,-18.1,C,"2,967.0"
Alemania,327 Fabricación de productos a base de minerales no metálicos,C,32.4,21.8,C,C,16.4,3.7,-4.7,29.0,C,C,C,C,C,C,C,C,0.0,117.0
Alemania,3271 Fabricación de productos a base de arcillas y minerales refractarios,C,C,C,0.0,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,59.5
Alemania,3272 Fabricación de vidrio y productos de vidrio,0.0,C,0.0,C,C,10.6,C,C,C,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,36.7
Alemania,3273 Fabricación de cemento y productos de concreto,0.0,0.0,C,C,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3279 Fabricación de otros productos a base de minerales no metálicos,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,331 Industrias metálicas básicas,3.1,C,1.2,2.2,C,0.9,2.9,8.3,25.3,C,0.3,C,C,C,-3.4,C,C,C,33.8
Alemania,3312 Fabricación de productos de hierro y acero,3.1,C,C,2.2,C,0.9,C,5.0,C,C,C,C,C,C,C,C,C,C,25.1
Alemania,3313 Industria básica del aluminio,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,"3314 Industrias de metales no ferrosos, excepto aluminio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3315 Moldeo por fundición de piezas metálicas,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,C,C,0.0,0.0,C,C,C,C,0.9
