"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
España,2362 Edificación no residencial,11.7,62.0,28.8,18.4,16.7,5.0,1.6,-3.1,0.1,17.1,27.8,10.5,15.2,51.5,11.4,C,C,0.0,276.3
España,237 Construcción de obras de ingeniería civil,131.7,249.8,58.1,22.4,-4.4,-102.0,740.8,173.7,241.6,"1,056.5",823.0,596.8,987.2,451.4,-175.1,345.5,256.6,C,"6,304.5"
España,"2371 Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",2.0,85.8,43.7,10.6,-2.3,-319.5,717.4,115.0,263.1,"1,050.9",805.7,516.0,910.0,358.4,-104.6,379.2,219.0,C,"5,501.1"
España,2372 División de terrenos y construcción de obras de urbanización,1.3,1.2,14.6,10.0,-1.0,-0.4,0.9,4.4,1.6,-1.4,7.2,C,-8.9,9.5,C,C,C,0.0,51.0
España,2373 Construcción de vías de comunicación,129.1,148.0,-0.6,3.9,C,C,C,26.5,C,0.0,0.0,8.6,C,0.0,C,C,C,0.0,329.4
España,2379 Otras construcciones de ingeniería civil,-0.7,C,C,-2.0,-1.1,216.9,21.2,27.9,-23.0,7.0,10.1,69.6,71.4,83.5,-71.4,-34.9,33.2,0.0,422.9
España,238 Trabajos especializados para la construcción,15.8,34.1,1.9,10.5,0.4,0.4,25.0,-18.3,1.9,2.0,-1.3,C,4.6,1.9,C,C,C,0.0,79.4
España,"2381Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",15.8,34.1,1.0,10.6,0.2,C,0.2,0.0,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,63.0
España,2382 Instalaciones y equipamiento en construcciones,C,0.0,C,C,0.2,0.0,24.8,5.1,0.0,-0.1,0.1,0.0,C,1.9,C,C,C,0.0,34.3
España,2383 Trabajos de acabados en edificaciones,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.1
España,2389 Otros trabajos especializados para la construcción,0.0,0.0,0.0,0.0,0.0,C,C,-23.4,1.8,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,-18.0
España,31-33 Industrias manufactureras,254.4,316.6,176.0,576.7,275.1,441.5,166.1,-435.3,85.6,37.1,188.9,375.7,197.3,206.5,102.2,122.1,99.6,7.2,"3,193.3"
España,311 Industria alimentaria,0.3,C,9.5,-0.4,-0.1,2.4,2.3,4.3,C,-0.2,C,C,-1.5,0.0,C,C,C,0.0,109.1
España,3111 Elaboración de alimentos para animales,C,C,C,-0.1,C,C,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.6
España,3112 Molienda de granos y de semillas y obtención de aceites y grasas,C,C,0.0,0.0,0.0,0.0,C,C,C,C,C,C,0.0,0.0,0.0,0.0,C,0.0,93.9
España,"3113 Elaboración de azúcares, chocolates, dulces y similares",0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,"3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",C,0.0,6.6,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
España,3115 Elaboración de productos lácteos,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
