País de Origen,Entidad federativa,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Nicaragua,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.2
Nicaragua,San Luis Potosí,0.0,0.0,0.0,C,0.0,C,C,C,C,C,0.0,C,0.0,C,0.0,0.0,0.0,0.0,C
Nicaragua,Sinaloa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C
Nicaragua,Sonora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C
Nicaragua,Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C
Nicaragua,Yucatán,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.2
Nicaragua,Zacatecas,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,0.0,C,0.0,C,0.0,0.0,0.0,0.0,C
Noruega,Baja California,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Noruega,Baja California Sur,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.5
Noruega,Campeche,C,C,-20.5,C,C,13.5,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,48.1
Noruega,Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Noruega,Ciudad de México,6.3,3.1,5.1,56.4,-68.3,5.2,-26.0,-3.7,C,0.0,-5.9,2.9,0.0,15.5,9.1,-14.6,10.3,0.0,-4.6
Noruega,Coahuila de Zaragoza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C
Noruega,Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C
Noruega,Estado de México,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,C,C,C,C,0.0,0.0,0.0,10.5
Noruega,Guerrero,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Noruega,Jalisco,C,0.0,0.0,0.0,C,C,0.0,C,0.0,C,C,C,C,C,0.0,0.0,C,0.0,100.9
Noruega,Morelos,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Noruega,Nayarit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
Noruega,Nuevo León,C,4.3,C,C,C,0.0,C,0.0,C,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,10.4
Noruega,Oaxaca,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Noruega,Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C
Noruega,Querétaro,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,1.7
Noruega,Quintana Roo,C,0.0,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.4,0.1,0.0,C,C,0.0,0.0,1.4
Noruega,Sinaloa,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Noruega,Sonora,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,22.4
Noruega,Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,42.2,0.6,9.4,C,0.0,0.0,0.0,0.0,0.0,58.6
Noruega,Tamaulipas,C,C,C,C,C,C,C,C,C,C,C,13.0,C,C,C,C,C,C,61.5
Noruega,Tlaxcala,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
